countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
Djibouti,1097,0,2,0,672,0,423,0,13751,0.2,61.3
Hong Kong,1040,0,4,0,859,0,177,4,154989,0.4,82.6
Senegal,1024,0,9,0,356,0,659,1,466,0.9,34.8
Tunisia,998,0,41,0,316,0,641,24,23526,4.1,31.7
Honduras,899,95,75,0,112,0,712,10,3643,8.3,12.5
Latvia,871,1,16,0,348,0,507,2,63102,1.8,40.0
Cyprus,857,0,15,0,296,0,546,15,60536,1.8,34.5
Kosovo,806,0,22,0,271,0,513,0,0,2.7,33.6
Albania,789,7,31,0,519,31,239,4,8669,3.9,65.8
Kyrgyzstan,769,13,8,0,527,23,234,12,51472,1.0,68.5
Andorra,745,0,43,0,468,0,234,17,1673,5.8,62.8
Lebanon,729,0,24,0,192,0,513,44,36420,3.3,26.3
Niger,728,0,33,0,478,0,217,0,5230,4.5,65.7
Costa Rica,725,0,6,0,355,0,364,7,13529,0.8,49.0
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Sri Lanka,690,0,7,0,172,10,511,1,22418,1.0,24.9
Burkina Faso,649,0,44,0,517,0,88,0,0,6.8,79.7
Uruguay,648,0,17,0,435,0,196,10,20554,2.6,67.1
Guatemala,644,45,16,0,72,6,556,5,7200,2.5,11.2
Congo (Kinshasa),604,0,32,0,75,0,497,0,0,5.3,12.4
Somalia,601,0,28,0,31,0,542,2,0,4.7,5.2
Georgia,582,16,8,1,207,0,367,6,15904,1.4,35.6
San Marino,580,0,41,0,82,0,457,5,2386,7.1,14.1
Mayotte,539,0,4,0,235,0,300,4,3000,0.7,43.6
Channel Islands,538,0,41,0,406,0,91,0,5342,7.6,75.5
Sudan,533,91,36,5,46,7,451,0,0,6.8,8.6
Mali,508,0,26,0,196,0,286,0,2172,5.1,38.6
Maldives,491,0,1,0,17,0,473,2,8008,0.2,3.5
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Malta,467,0,4,0,383,0,80,1,32989,0.9,82.0
Jordan,459,0,8,0,364,0,87,5,78885,1.7,79.3
El Salvador,446,22,10,0,138,14,298,2,26961,2.2,30.9
Jamaica,432,10,8,0,31,2,393,1,4779,1.9,7.2
Taiwan,432,3,6,0,324,0,102,0,63713,1.4,75.0
